name,n
Madden LV,16
Paul PA,16
Del Ponte EM,10
Bradley CA,8
Canteri MG,8
Godoy CV,8
Wise KA,8
Campos HD,6
Chilvers MI,6
Esker PD,6
Martins MC,6
Meyer MC,6
Nunes J,6
Venancio WS,6
Barro JP,5
Dalla Lana F,5
Juliatti FC,5
Kandel YR,5
Makowski D,5
Mueller DS,5
Ojiambo PS,5
Utiamada CM,5
Carlin VJ,4
Carneiro LC,4
da Silva LHCP,4
Fantin LH,4
Furlan SH,4
Grybauskas A,4
Gudmestad NC,4
Hershman DE,4
Lipps PE,4
Malvick DK,4
Scherm H,4
Smith DL,4
Tenuta A,4
Yellareddygari SKR,4
Allen TW,3
Balardin RS,3
Bergstrom GC,3
Borges EP,3
Byrne AM,3
Copes W,3
da Silva AL,3
Dias AR,3
Dill-Macky R,3
Forcelini CA,3
Kleczewski NM,3
Lau D,3
Machado FJ,3
McMullen M,3
McMullen MP,3
Milus E,3
Ngugi HK,3
Pasche JS,3
Santana FM,3
Siqueri FV,3
Taylor RJ,3
Tupich FLB,3
Vicent A,3
Adee EA,2
Alves KS,2
Ames KA,2
Araujo IP,2
Belufi LMR,2
Byamukama E,2
Chagas DF,2
Conley SP,2
Debortoli MP,2
Dillard HR,2
Draper MA,2
Feksa HR,2
Friskop A,2
Garrett KA,2
Giesler LJ,2
Goussain MM,2
Grigolli JFJ,2
Jaccoud-Filho DS,2
Junior ERA,2
Kelly HM,2
Kirk WW,2
MacLeod WJ,2
Mathew FM,2
Mehl HL,2
Miguel-Wruck DS,2
Muller MA,2
Robertson A,2
Roy JMT,2
Ruden K,2
Salam MU,2
Sbalcheiro CC,2
Senger M,2
Silva LHCP,2
Sweets LE,2
Veresoglou SD,2
Abdalla IIH,1
Amaral DR,1
Amiri A,1
Amorim L,1
ArchMiller AA,1
Arneson N,1
Arslan M,1
Ascari JP,1
Barbetti MJ,1
Barrios E,1
Barto EK,1
Beard C,1
Belova A,1
Benedetti T,1
Bockus WW,1
Bond JP,1
Bortoluzzi EC,1
Bowden RL,1
Breunig M,1
Brown P,1
Brustolin R,1
Bucker MW,1
Burrows M,1
Calvo NS,1
Canellas LP,1
Carvalho IR,1
Chandrasekaran M,1
Chapman SA,1
Chaves ICPV,1
Chen T,1
Chen X,1
Christiano RSC,1
Chun SC,1
Claessen D,1
Cluskey SA,1
Coelho MAO,1
Collins AA,1
Cordova LG,1
Corrales DC,1
Cotrozzi L,1
Custodio AAP,1
Dallagnol LJ,1
Delaney DP,1
Delaney M,1
Dias MD,1
Dong Y,1
Duffeck MR,1
Ebelhar SE,1
Edwards-Molina JP,1
Fall ML,1
Fantin L,1
Faria AF,1
Faske T,1
Faske TR,1
Fletcher R,1
Floyd CM,1
Freije A,1
Fuller KB,1
Gent DH,1
Germida JJ,1
Godebo AT,1
Goulart ACP,1
Goussain RCS,1
Grabau ZJ,1
Grigolli FJ,1
Gripenberg S,1
Groth D,1
Grove GG,1
Guimarães RA,1
Guterres CW,1
Halvorson J,1
Hashim SBH,1
Heckert S,1
Hegde V,1
Hollier C,1
Holmes GJ,1
Hooker DC,1
Hu J,1
Huang C,1
Hughes G,1
Hunt CL,1
Huzar-Novakowiski J,1
Ito MF,1
Jaccoud DS,1
Jackson-Ziems TA,1
Jiyong S,1
Jonsson M,1
Kaartinen R,1
Kabbage M,1
Keinath AP,1
Kemerait B,1
Kemerait RC,1
Konageski TF,1
Kuhnem P,1
Kwon T,1
