value,n,percent
BPL b,1,0.006578947368421052
Cohen's d,2,0.013157894736842105
Hedges' g,3,0.019736842105263157
incidence ratio,3,0.019736842105263157
intercept,8,0.05263157894736842
log means,29,0.19078947368421054
log of d,1,0.006578947368421052
log ratio,36,0.23684210526315788
mean diff,12,0.07894736842105263
means,35,0.23026315789473684
odds ratio,3,0.019736842105263157
r,1,0.006578947368421052
response ratio,8,0.05263157894736842
risk ratio,1,0.006578947368421052
slope,9,0.05921052631578947
Total,152,1
