from,to,"ver[el[, 1], ]","ver2[el[, 2], ]"
1,2,Madden LV,Piepho HP
1,3,Madden LV,Paul PA
2,3,Piepho HP,Paul PA
4,5,Machado FJ,Santana FM
4,6,Machado FJ,Lau D
4,7,Machado FJ,Del Ponte EM
5,6,Santana FM,Lau D
5,7,Santana FM,Del Ponte EM
6,7,Lau D,Del Ponte EM
3,8,Paul PA,Dalla Lana F
8,9,Dalla Lana F,Godoy CV
8,10,Dalla Lana F,Utiamada CM
8,11,Dalla Lana F,da Silva LHCP
8,12,Dalla Lana F,Siqueri FV
8,13,Dalla Lana F,Forcelini CA
8,14,Dalla Lana F,Jaccoud-Filho DS
8,15,Dalla Lana F,Miguel-Wruck DS
8,16,Dalla Lana F,Borges EP
8,17,Dalla Lana F,Juliatti FC
8,18,Dalla Lana F,Campos HD
8,19,Dalla Lana F,Nunes J
8,20,Dalla Lana F,Carneiro LC
8,21,Dalla Lana F,Canteri MG
8,22,Dalla Lana F,Ito MF
8,23,Dalla Lana F,Meyer MC
8,24,Dalla Lana F,Martins MC
8,25,Dalla Lana F,Balardin RS
8,26,Dalla Lana F,Furlan SH
8,27,Dalla Lana F,Carlin VJ
7,8,Del Ponte EM,Dalla Lana F
3,9,Paul PA,Godoy CV
3,10,Paul PA,Utiamada CM
3,11,Paul PA,da Silva LHCP
3,12,Paul PA,Siqueri FV
3,13,Paul PA,Forcelini CA
3,14,Paul PA,Jaccoud-Filho DS
3,15,Paul PA,Miguel-Wruck DS
3,16,Paul PA,Borges EP
3,17,Paul PA,Juliatti FC
3,18,Paul PA,Campos HD
3,19,Paul PA,Nunes J
3,20,Paul PA,Carneiro LC
3,21,Paul PA,Canteri MG
3,22,Paul PA,Ito MF
3,23,Paul PA,Meyer MC
3,24,Paul PA,Martins MC
3,25,Paul PA,Balardin RS
3,26,Paul PA,Furlan SH
3,27,Paul PA,Carlin VJ
3,7,Paul PA,Del Ponte EM
9,10,Godoy CV,Utiamada CM
9,11,Godoy CV,da Silva LHCP
9,12,Godoy CV,Siqueri FV
9,13,Godoy CV,Forcelini CA
9,14,Godoy CV,Jaccoud-Filho DS
9,15,Godoy CV,Miguel-Wruck DS
9,16,Godoy CV,Borges EP
9,17,Godoy CV,Juliatti FC
9,18,Godoy CV,Campos HD
9,19,Godoy CV,Nunes J
9,20,Godoy CV,Carneiro LC
9,21,Godoy CV,Canteri MG
9,22,Godoy CV,Ito MF
9,23,Godoy CV,Meyer MC
9,24,Godoy CV,Martins MC
9,25,Godoy CV,Balardin RS
9,26,Godoy CV,Furlan SH
9,27,Godoy CV,Carlin VJ
7,9,Del Ponte EM,Godoy CV
10,11,Utiamada CM,da Silva LHCP
10,12,Utiamada CM,Siqueri FV
10,13,Utiamada CM,Forcelini CA
10,14,Utiamada CM,Jaccoud-Filho DS
10,15,Utiamada CM,Miguel-Wruck DS
10,16,Utiamada CM,Borges EP
10,17,Utiamada CM,Juliatti FC
10,18,Utiamada CM,Campos HD
10,19,Utiamada CM,Nunes J
10,20,Utiamada CM,Carneiro LC
10,21,Utiamada CM,Canteri MG
10,22,Utiamada CM,Ito MF
10,23,Utiamada CM,Meyer MC
10,24,Utiamada CM,Martins MC
10,25,Utiamada CM,Balardin RS
10,26,Utiamada CM,Furlan SH
10,27,Utiamada CM,Carlin VJ
7,10,Del Ponte EM,Utiamada CM
11,12,da Silva LHCP,Siqueri FV
11,13,da Silva LHCP,Forcelini CA
11,14,da Silva LHCP,Jaccoud-Filho DS
11,15,da Silva LHCP,Miguel-Wruck DS
11,16,da Silva LHCP,Borges EP
11,17,da Silva LHCP,Juliatti FC
11,18,da Silva LHCP,Campos HD
11,19,da Silva LHCP,Nunes J
11,20,da Silva LHCP,Carneiro LC
11,21,da Silva LHCP,Canteri MG
11,22,da Silva LHCP,Ito MF
11,23,da Silva LHCP,Meyer MC
11,24,da Silva LHCP,Martins MC
11,25,da Silva LHCP,Balardin RS
11,26,da Silva LHCP,Furlan SH
11,27,da Silva LHCP,Carlin VJ
7,11,Del Ponte EM,da Silva LHCP
12,13,Siqueri FV,Forcelini CA
12,14,Siqueri FV,Jaccoud-Filho DS
12,15,Siqueri FV,Miguel-Wruck DS
12,16,Siqueri FV,Borges EP
12,17,Siqueri FV,Juliatti FC
12,18,Siqueri FV,Campos HD
12,19,Siqueri FV,Nunes J
12,20,Siqueri FV,Carneiro LC
12,21,Siqueri FV,Canteri MG
12,22,Siqueri FV,Ito MF
12,23,Siqueri FV,Meyer MC
